,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
180,310,1,10,110,210,400,256,1024,500,64,0,0,40990,3,0,0
181,360,1,10,130,210,400,256,1024,500,64,1,1,43990,3,0,0
183,360,1,10,110,210,400,256,1024,500,64,1,1,41390,4,56,7
184,360,1,10,110,210,400,256,1024,500,64,1,1,44290,3,0,0
185,360,1,10,130,210,400,256,1024,500,64,1,0,48999,3,0,0
186,360,1,10,130,210,400,256,1024,500,64,1,1,39990,3,170,11
187,360,1,10,110,220,400,256,1024,500,64,0,0,46390,2,95,5
188,310,1,30,120,210,410,0,512,500,64,0,0,18990,3,197,25
189,310,1,30,120,210,410,0,512,500,32,0,0,17990,3,1180,148
190,350,1,30,120,210,400,0,512,500,64,0,0,26470,3,232,23
191,350,1,30,120,210,400,0,512,500,64,0,0,27990,3,596,65
192,320,1,30,120,210,400,0,1024,500,32,0,0,29999,3,19,1
193,320,1,30,120,210,420,0,512,500,64,0,0,25990,3,84,16
194,320,1,30,120,210,410,0,512,500,32,0,0,16990,3,414,54
195,320,1,30,120,210,410,0,512,500,32,0,0,24990,2,70,16
196,330,1,20,120,220,430,0,512,500,32,0,0,50990,4,10966,1185
197,330,1,20,120,220,410,0,512,500,32,1,0,119990,4,1,1
198,330,1,20,110,220,410,0,512,510,32,0,0,94190,4,31,6
199,310,1,20,110,220,410,0,512,510,32,0,0,106167,4,1881,241
200,360,1,20,110,220,410,0,512,510,32,1,0,68090,1,23,4
201,360,1,20,110,220,410,0,512,510,32,1,0,139990,3,0,0
202,350,1,20,110,220,410,0,512,510,32,0,0,55990,4,818,109
203,350,1,20,110,220,410,0,512,510,32,0,0,102551,3,0,0
204,320,1,20,110,220,410,0,512,510,32,0,0,46990,4,4428,569
205,350,1,20,150,220,400,128,0,500,64,1,0,76012,4,129,16
206,320,1,20,130,220,400,256,0,500,64,2,1,49490,4,365,35
207,330,1,20,140,220,440,256,0,500,64,1,1,86867,4,39,3
208,310,1,20,130,220,400,256,0,500,64,1,0,48990,3,0,0
209,360,1,20,130,220,400,256,0,500,64,0,0,55990,3,3,0
210,330,1,20,150,220,440,256,0,500,64,1,1,81998,4,14,3
211,350,1,20,150,220,400,256,0,500,64,1,1,136590,3,0,0
212,330,1,20,150,220,400,256,0,500,64,1,0,59490,3,33,7
213,310,1,20,130,220,400,256,0,500,64,1,0,49800,3,0,0
214,320,1,20,130,220,400,256,0,500,64,1,1,61999,2,4,0
215,350,1,20,130,220,400,512,0,500,64,0,0,54990,4,116,15
216,350,1,20,130,220,400,512,0,500,64,1,0,53990,4,206,17
217,320,1,20,130,220,400,512,0,500,64,2,1,52990,4,300,24
218,350,1,20,130,230,400,512,0,500,64,1,1,67990,4,108,6
219,310,1,20,110,220,400,512,0,500,64,1,0,57990,4,3712,412
220,320,1,20,130,230,400,512,0,500,64,1,1,62300,4,825,95
221,320,1,20,130,220,400,512,0,500,64,1,0,52990,3,0,0
222,320,1,20,130,220,400,512,0,500,64,2,1,51990,4,85,4
223,320,1,20,130,230,400,512,0,500,64,0,0,61990,4,56,7
224,310,1,20,130,220,420,512,0,500,32,1,1,63990,4,10,1
225,320,1,20,130,220,400,512,0,500,64,1,1,65990,4,17,4
226,330,1,20,130,220,400,512,0,500,64,1,0,52990,4,155,20
227,320,1,20,110,220,400,512,0,500,64,1,0,49990,3,0,0
228,310,1,20,130,220,400,512,0,500,64,0,0,71990,4,91,17
229,310,1,20,110,220,400,512,0,500,64,1,0,47990,4,35,2
230,320,1,20,110,220,400,512,0,500,32,2,1,48490,4,126,13
231,310,1,20,130,220,400,512,0,500,64,0,0,72990,4,74,10
232,370,1,20,130,230,400,512,0,500,64,2,0,76990,4,75,17
233,310,1,20,130,230,400,512,0,500,64,1,1,89990,4,124,17
234,370,1,20,110,220,400,512,0,500,64,2,0,59990,4,1597,228
235,310,1,20,110,220,400,512,0,500,64,1,1,65990,4,3850,378
236,360,1,20,130,220,400,512,0,500,64,0,0,71990,4,7,1
237,360,1,20,130,220,400,512,0,500,64,0,0,71890,4,3,0
238,320,1,20,130,230,400,512,0,500,64,0,0,64990,3,0,0
239,310,1,20,130,230,400,512,0,500,64,1,0,65990,3,0,0
240,350,1,20,130,220,400,512,0,500,64,0,0,55999,4,5,1
